random number,0,1,2,3,4,5,6,7,8,9
,POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
0.050332121,114,Dale Steyn,27.5,3,1,24,0,0,0,0
0.849210949,115,Josh Philippe,26,5,0,0,9,1,0,0
0.540038965,116,Kuldeep Yadav,25,5,1,19,1,0,0,0
0.117107921,117,Mitchell Santner,21.5,2,2,12,0,0,1,0
0.99657454,118,Varun Aaron,21,3,0,21,0,0,0,0
0.400376405,119,Kedar Jadhav,20,8,0,0,7,0,1,0
0.753361411,120,Shahbaz Ahmed,18.5,2,2,9,0,0,1,0
0.847934834,121,Sarfaraz Khan,17.5,5,0,0,5,0,2,0
0.142544309,122,Jayant Yadav,16.5,2,1,13,0,0,0,0
0.692738548,123,Moeen Ali,16.5,3,1,8,1,0,1,0
0.61033857,124,Mahipal Lomror,15.5,3,0,0,2,3,0,0
0.681221345,125,Pravin Dubey,14.5,3,0,12,0,0,1,0
0.161324327,126,Yashasvi Jaiswal,14.5,3,0,0,2,2,1,0
0.669701775,127,Umesh Yadav,14,2,0,14,0,0,0,0
0.370263889,128,Siddarth Kaul,13,1,2,6,0,0,0,0
0.508747829,129,Mujeeb Ur Rahman,12,2,0,12,0,0,0,0
0.477441474,130,Andrew Tye,12,1,1,5,0,1,0,0
0.940913141,131,Mohit Sharma,10.5,1,1,7,0,0,0,0
0.361647737,132,Narayan Jagadeesan,10,5,0,0,4,0,0,0
0.795302562,133,Murali Vijay,10,3,0,0,4,0,0,0
0.321684188,134,Mohammad Nabi,10,1,0,5,2,0,0,0
0.15219473,135,Alex Carey,8.5,3,0,0,0,1,2,0
0.622009356,136,Basil Thampi,8.5,1,1,5,0,0,0,0
0.03240035,137,Sandeep Warrier,8,1,0,8,0,0,0,0
0.408000734,138,Karun Nair,7.5,4,0,0,2,0,1,0
0.823692878,139,Simran Singh,7.5,2,0,0,2,0,1,0
0.226351521,140,Avesh Khan,7,1,0,7,0,0,0,0
0.05558241,141,Harpreet Brar,6,1,0,6,0,0,0,0
0.611473769,142,Chris Green,6,1,0,6,0,0,0,0
0.623816616,143,Tom Banton,6,2,0,0,1,1,0,0
0.77688021,144,Dhawal Kulkarni,6,1,0,6,0,0,0,0
0.766077417,145,Rinku Singh,5,1,0,0,1,0,1,0
0.576162035,146,Monu Kumar,4,1,0,4,0,0,0,0
0.432022865,147,Ishant Sharma,4,1,0,4,0,0,0,0
0.191733912,148,Nikhil Naik,2.5,1,0,0,0,0,1,0
0.777893063,149,Shreevats Goswami,2.5,2,0,0,0,0,1,0
0.952072387,150,Mitchell Marsh,1,1,0,1,0,0,0,0
0.851838725,151,David Miller,0,1,0,0,0,0,0,0
